# RU	ING	source
В это время жил в Халафе паша , большой охотник до песельников; многих к нему приводили – ни один ему не понравился; его чауши измучились, бегая по городу: вдруг, проходя мимо кофейного дома, слышат удивительный голос; они туда.	Из илли сов ч оаг1 а дезаденнача Эвр —- цу курача пашас ер къе Ашик-Кериб ше В вна «в )) чесеещи волча соцавир.	ocr
«Иди с нами, к великому паше, – закричали они, – или ты отвечаешь нам головою».	Хьат1адоладелар цунна В е дошув а дотув а, къаьгар цунна т ехь ) : оо ) д1аьхи дувхар.	ocr
«Я человек вольный, странник из города Ага – господин.	Иразе а сакъердаме а —НЕ› ВЫ ваха волавелар _ Ашик-Кериб, чТоаг1а поноеоиундтоо ауч овооротай в аьхи а хилар из.	ocr
Бек – властитель, князь, господин.	Ший Магуль-Мегери ‘ цунна йицъеннай, Йицъеннаяц — сона хац, ' цхьабакъда, ха йистей оалаш-м латтар.	ocr
Хараф – место на границе Сирии и Турции.	Хо- _ “ёіё ‘* за Магуль-Мегери корзаг1ъяла йолаелар. ‘а ‘? ' Цу ханна, шийца — шовзткъа — инкали СО ВЕ везткъа лайи волаш Гуржег1ара кира оаа д…з *’ ваха кийчлуш купец вар.	ocr
Паша – правитель.	Из купец ший- _ ьт'“’ ’_ і ‘и на а а вийха, цунга дошо оаркхилг ‘а ы № делар Магуль-Мегере. “Д1аэца ер оарк- _ ае Ё' р хилг, — аьлар цо, — хье моллаг1ча городе г" х ы та " кхоаче а, ер оарлхилг хьай тика чу Ч хьал а оттадийя, массанахьа а дакхай- _‚‚ё"‹ Ж : каде, укх оаркхилга да кора а воаг1е, ‚ *"*’ „‚ у ер ший хилар цунна хьахьокха а моге, аО Й 1 ер оаркхилги укханца эзза дошуви лург- ИЕЕ « : ' да цунна,аьле“.	ocr
Чауш – слуга.	Вахар купец; Магуль- ё Мегере шийна т1адиллаьр массанахьа а 1 кхоачашдир цо, цхьабакъда, цхьаннахьа а дошоча оаркхилга да кораванзар.	ocr
Тифлиза, – говорит Ашик-Кериб, – хочу пойду, хочу нет; пою, когда придется, – и ваш паша мне не начальник».	Мас- мо О санахьа а кхайкадир цо Магуль-Мегере ой Щ шийна т1 адиллаьр.	ocr
Однако, несмотря на то, его схватили и привели к паше.	Из хеза а хеза, вед- ааы иоеят: ьа да Ашик-Кериб кир латтача веча, цун- вооаа ае ооа Н ОООа ста на б аргадайра Гуржег1арча купеца тика : ; чу латташ дошо оаркхилг. „Вр са да1 —- аьлар цо, катеха из хьа а ийца.— Хьа — „е - “ В : да а да из, — аьлар купеца — сона вайза ' : „вО « Ц хьо, Ашик-Кери . уВолле чехка Гурже‘Ё 1 : / //’ і НМ„Ё ”? ;Ш‘ЬЁ“ З'”ЁЧ‘ га кхача; хьа Магуль-Мегере хьога ала З )/ "??"Ё1	ocr
«Пой», – сказал паша, и он запел.	ЁЁ‘:“ЁК"›Ё_ ’д_уг _ч ‘… аьннадар сога, ха йистейоалаш латт, ай- ;1 '.' : ай ;Ё " Ё'(- ‘ ха диллаьча' дийнахь хьо ща ца кхоаче, в ' и о ЙЙ('Ъ ше кхычунга маьре йода, аьнна.	ocr
И в этой песне он славил свою дорогую Магуль-Мегери; и эта песня так понравилась гордому паше, что он оставил у себя бедного Ашик-Кериба.	Кор- ;Ё ‹ ‘у'Хо ЛВ Ыдд заг1а а ваьнна кертах кулгаш хьалтехар .	ocr
Посыпалось к нему серебро и золото, заблистали на нём богатые одежды; счастливо и весело стал жить Ашик-Кериб и сделался очень богат; забыл он свою Магуль-Мегери или нет, не знаю, только срок истекал, последний год скоро должен был кончиться, а он и не готовился к отъезду.	ЁЁ‘: Ва ' "1“1ід Ашик-Кериба: кхо ди мара дисадацар /Ё— Ва ОоЕщдет ДАГ) ;Ёд. дір “‚ йиллаь ха тГакхача.	ocr
Прекрасная Магуль-Мегери стала отчаиваться: в это время отправлялся один купец с керваном из Тифлиза с сорока верблюдами и восьмьюдесятью невольниками: призывает она купца к себе и даёт ему золотое блюдо: «Возьми ты это блюдо, – говорит она, – и в какой бы ты город ни приехал, выставь это блюдо в своей лавке и объяви везде, что тот, кто признается моему блюду хозяином и докажет это, получит его и вдобавок вес его золотом».	ЖГаьта а, говра т а ЁЁ А ( КЗ ’1 ‘„“1 “МД'ЫГ‹',*„Ё МОЛа Л а хайна, шийца дошоча ахчан т орми і ‚Ё…	ocr
Отправился купец, везде исполнял поручение Магуль-Мегери, но никто не признался хозяином золотому блюду.	Эггара т ехьа а сов чЧ оаг1а хий- В од Ё___ЁЁ:; я = я КЕЕ - — ЗАНИ хка са а хаьда, Арзиньянаи — Арзеру- : я маи юкъерча Арзинган-лоам та окхийт- хьо?“ — „Вала безам болаш ва,“— аьнна та елар говр.	ocr
Уж он продал почти все свои товары и приехал с остальными в Халаф: объявил он везде поручение Магуль-Мегери.	Х анз фу дергда цо? жоп делар Ашика.— „ТокТалвала — х1аьта Арзиньянера Гуржег1 а шин бетта бах- уккхаза; ишта дале, аз вувргва хьо.“ ‘ хьал никъ ба, юхедисар ши ди мара дац.	ocr
Услыхав это, Ашик-Кериб прибегает в караван-сарай: и видит золотое блюдо в лавке тифлизского купца.	Ашик халла окТалваьлар лоамах Хы;і- „Низ кхоачаш вола аллах11— аьнна щ - волле сона т ехьа“, — аьлар цун .'а"баьг1а техар цо.— ХГанз Та сона новкъостал речо бирса.— „Мишта воаг1а со хьона ( ца дойя, укх лаьтта кхы де хГама дац ; т ехьа, — аьнна жоп делар Ашика,— хьа са1“ Лакхача лоамах ахка ваха безам ' ды мух мо масса бода, х аьта со е;; т орхилар цун.	ocr
«Это моё», – сказал он, схватив его рукою.	Щаьхха Тючухьежача, оа кТал ма беза а болаш, воалац.— Баіёълув- из сирача дына т аваг1 аш цхьа саг а б1ар- хьай "т юрми са — нуврах Хьа а элле ' гавайра цунна, цо теха ч оаг1 а щюг1а а волле сона т ехьа“.	ocr
«Точно, твоё, – сказал купец, – я узнал тебя, Ашик-Кериб: ступай же скорее в Тифлиз, твоя Магуль-Мегери велела тебе сказать, что срок истекает, и если ты не будешь в назначенный день, то она выйдет за другого».	Ашик дахьежача: цунна хьал- ‘№ё…	ocr
В отчаянии Ашик-Кериб схватил себя за голову: оставалось только три дни до рокового часа.	Ё ъ Ва хашка дар Арзерума кТай пенаши къегаш о $№Ёі - адннеаачны — палат ваьннав со, со веннавар Къар- : «Ё_/"‹'›;ЗЁ”‚ ЖЁ1‚; се ваха веза са ала,— „Из да-кх дош, — об г ”?‚* ) аьлар баьречо,— аз хьалххе а д а ма …Ё Ё…;Ё “ аьннадарий хьога, щена бакъдар алалахь *Ё‘ д_ё*› сога, аьнна; юха а дав1 ашта дахка б ар- ла ;«_‚/ ов ° Щ гаш.	ocr
Однако он сел на коня, взял с собою суму с золотыми монетами – и поскакал, не жалея коня; наконец измученный бегун упал бездыханный на Арзинган горе, что между Арзиньяном и Арзерумом.	Х анз хьалакха“.	ocr
Что ему было делать: от Арзиньяна до Тифлиза два месяца езды, а оставалось только два дня.	Ашик шийх а‘те- айй *ЁЧ'*Ч„„ шац, из Къарсе я, аьнна.	ocr
«Аллах всемогущий, – воскликнул он, – если ты уж мне не поможешь, то мне нечего на земле делать».	Гогора а вежа, . *'РЁ„“ ‘ аьлар цо:— „Бехке ва со, Ама, кхозза ё о ® к) СС ВВРОЛОС РЕ ао бехке ва хьа гГулакхча Ашик-Кериб; г н ЛЕНЕ ОСА ИЕ цхьабакъда, хьона хьайна ма хой, Турра оНЫ денз: харцле лаьрх1а вола саг, сарралца ше )ОВ оее харцле везалга.	ocr
И хочет он броситься с высокого утеса; вдруг видит внизу человека на белом коне; и слышит громкий голос: «Оглан , что ты хочешь делать?» «Хочу умереть», – отвечал Ашик. – «Слезай же сюда, если так, я тебя убью».	Бокъонцадар аьлча, са ° .	ocr
«Ступай за мною», – сказал грозно всадник.	ДоРол ба а ае х ) МО Гуржег1а ваха ма везар“.——“Даьллахьий : = д на ЭОО Я ма харц лувш саг ва хьо1— аьлар Щим- МВОУООНСНО ОНЕ РНА Н КЕУ ТОНЕа Я НЕ ЛОН Ы ОЫ хара ‘ баьречо, — х аьта а, де х1ама дац, аз гешт ду хьона.	ocr
«Как я могу за тобою следовать, – отвечал Ашик, – твой конь летит, как ветер, а я отягощён сумою».	Д ав ашта дахка б ар- ‘ 1 ы ; : ч ’ ю таш, х1анз хьалакха“,— аьлар цо цхьа кулгаца ни1 еттар цо: „Ана, ана*, хьаеминут яьннача гТолла.— Сов гГадвахача лла ни11 со даьла хьаша ва, шийла аАшикага щог1а ийккхар: Гуржег1ен на а- меца а волаш; хьай наькъа араваьнна рашта юххе бар уж.	ocr
«Правда, повесь же суму свою на седло моё и следуй», – отстал Ашик-Кериб, как ни старался бежать.	ЧЮюагпа дег т ера лелача ви ий духьа чувита со“.	ocr
«Что ж ты отстаёшь», – спросил всадник.	Иоккхабаркал а аьнна, нувра т ара ший т юрми ча сега г ийлача ашаро юха жоп делар хьа а ийца, Ашик-Кериба аьлар баьре- цунна: „Наькъахошта бийса яккха щ1ечунга:— “Аг1а, Та даьр, дувца хабар доа- нош да б аьхибарий, низбарий; х анз гоцаш, доккха дика да, цхьабакъда, кхы роде ловзараш да; цига г1о хьайна1	ocr
«Как же я могу следовать за тобою, твой конь быстрее мысли, а я уж измучен». – «Правда, садись же сзади на коня моего и говори всю правду, куда тебе нужно ехать». – «Хоть бы в Арзерум поспеть нынче», – отвечал Ашик.	Сирача дына лакхаш де раьза Йолаш я хьо, хГана барга к1алхара лаьттан гарза хьалъийцар аьлча ворх1 шу д1адаьннад со, сов дукха Ашика; цхьабакъда, цо корта хьалъай- НИЛКа, ёіаргаш Ч яг ийса*. — ? * я ы Х1аьта а йо1о, цо шийна еча Тувттарашбешшехь а— баьрии дыи къайлалийлхар. ка ла а ца дувМаш, хьал а гпаттаь, ни1 "аккха ший дагахь соцадир цо, из ший- хьа а йийлла, чувитар Ашик-Кериб.	ocr
«Закрой же глаза».	Вала на г даьр Хадерилиаз вар, аьнна. веззача бесса моаршалца щаг1а д1ачу а Геттара садайначул т ехьаг1а хьалехар Ашик-Кериба ший ща.	ocr
Он закрыл.	Ка эгача РО ваьнна, шийна чухь сатем боаццаш д/а- хьал а хьажаь ду1а дир цо: „Ва низ кхоачаш са хьежа ваьлар из.	ocr
«Теперь открой».	Т аккха сигленга сНЕ ИН, Мелла ше цун во1 ва укхо яьхача а, тешанзар из укхунах.	ocr
Смотрит Ашик: перед ним белеют Керван – караван.	Ёі' = ; ; „ХГаьта нагахьа санна царех цхьа пха 399› Ва ( хаде а,— аьлар д1 ахо Ашика, се да во- о Ч : лж лаш дола рузкъа д алург мад аз цунах“. — — ’?› з щ „ ;‘”* в— Иоккхача саго укхун тормех кулг а Ла аи теха, из ахчах биза болга а хайна, д а- /1 382 ЧТ“’МЁ ‚; бахьийтар пандар.	ocr
Оглан – сын. 4 стены и блещут минареты Арзрума.	Доккхача татаца лов- і’ Ир оОН ’* Ё зари хьоалчаг еи даь долча, даьхийча - мР, АВИ ? э п щенга кхаччалца из д анакъа а ваьккха, : ” ;‚ аи Ф на1арга юхасецар йиша, цига фу хул ыИ кЗа мо хьажа, ладувг а.	ocr
«Виноват, Ага, – сказал Ашик, – я ошибся, я хотел сказать, что мне надо в Карс.	ЛАИ оана Цю таккха Ашик-Кериба юха а илли аьлар: га техар вокхо, вела а вента,“—соЁ: „уйра ламаз дир аз Арзиньяна атаЭара хьа.:ё ха Х '‚" бтаипа т :'а„ а" ‚ га, делкъа ламаз дир аз Арзерум яхача аНЕИ д'е РЕЬ городе; малхбуза ламаз дир аз Къарс хана, дуккхача лоалахоша наГарга а ухаш яхача городе, маьриижа ламаз дир аз — Чре та ЕС Гуржег1а.	ocr
«То-то же, – отвечал всадник, – я предупредил тебя, чтоб ты говорил мне сущую правду; закрой же опять глаза, – теперь открой».	Аллах о ткъамаш а денна, * Шинди-гёрурсез — кастта ховргда шоана. я ' ткъамашца укхаза хьавера со; сирача : дынна хьалхара саг а хилва со.	ocr
Он упал на колени и сказал: «Виноват, Ага, трижды виноват твой слуга АшикКериб: но ты сам знаешь, что если человек решился лгать с утра, то должен лгать до конца дня: мне по-настоящему надо в Тифлиз».	Цига г олла д а 1	ocr
«Экой ты, неверный, – сказал сердито всадник, – но нечего делать: прощаю тебе – закрой же глаза.	ЗЬ *гд "_ё Ч а хьажаь ший Ашик-Кериб шийна вайОО ж “ ‚і›з Ё я зачул т ехьаг1а, мухь а теха, яха цунна ь в*‘ '„і' ’»„;ЁЁ;_*ЖЁ;Ё ‚ фоартах качхьаьрчар из, т аккха шак- *Ё у „‹ „‹:* ‘*‘ кхе а дог к аьд а денна, Тодежар.	ocr
Теперь открой», – прибавил он по прошествии минуты.	Н №"№а/ °Д Кулг а лаьца, цу ловзарга д1айигар цо Н У АМ _3_‚ * йоккха саг.	ocr
Принеся искреннюю свою благодарность и взяв свою суму с седла, Ашик-Кериб сказал всаднику: «Ага, конечно, благодеяние твоё велико, но сделай ещё больше; если я теперь буду рассказывать, что в один день поспел из Арзиньяна в Тифлиз, мне никто не поверит; дай мне какое-нибудь доказательство».	Т аккха Ашика чера лаьттан ИАНО УЛ УРЕ› ) В гарза хьа а яьккха, хица йоша а яь, ДЛЯ ДЕТЕЙ ДОШКОЛЬНОГО ВОЗРАСТА Михаил Юрьевич Лермонтов Ашик-Кериб (перевод на ингушский язык Ознева С.	ocr
«Наклонись, – сказал тот, улыбнувшись, – и возьми изпод копыта коня комок земли и положи себе за пазуху: и тогда если не станут верить истине слов твоих, то вели к себе привести слепую, которая семь лет уж в этом положении, – помажь ей глаза – и она увидит».	Т. * * Слано в мабор Х 1958 г — Подписано к печати .Х 1958 г Г.	ocr
Георгий) .	Формат х , — Объем , ( , ) п. л.	ocr
Только поздно вечером Ашик-Кериб отыскал дом свой: стучит он в двери дрожащею рукою, говоря: «Ана, ана (мать), отвори: я божий гость: и холоден, и голоден; прошу, ради странствующего твоего сына, впусти меня».	Уч. изд. л. , . "Тираж 2000, Чечено-Ингушское книжное излательство, Грозный, , улица Ленина, . ж Заказ № 5575, Типография имени 1 августа 1918 голау Грозный, проспект Революции, / .	ocr
Слабый голос старухи отвечал ему: «Для ночлега путников есть дома богатых и сильных: есть теперь в городе свадьбы – ступай туда; там можешь провести ночь в удовольствии».		
«Ана, – отвечал он, – я здесь никого знакомых не имею и потому повторяю мою просьбу: ради странствующего твоего сына впусти меня».		
Тогда сестра его говорит матери: «Мать, я встану и отворю ему двери».		
«Негодная, – отвечала старуха, – ты рада принимать молодых людей и угощать их, потому что вот уже семь лет, как я от слёз потеряла зрение».		
Но дочь, не внимая её упрекам, встала, отперла двери и впустила Ашик-Кериба: сказав обычное приветствие, он сел и с тайным волнением стал осматриваться: и видит он на стене висит в пыльном чехле его сладкозвучный сааз.		
И стал он спрашивать у матери: «Что висит у тебя на стене?» «Любопытный ты гость, – отвечала она, – будет и того, что тебе дадут кусок хлеба и завтра отпустят тебя с богом».		
«Я уж сказал тебе, возразил он, что ты моя родная мать, а это сестра моя, и потому прошу объяснить мне, что это висит на стене?» «Это сааз, сааз», – отвечала старуха сердито, не веря ему.		
«А что значит сааз?» «Сааз то значит: что на нём играют и поют песни».		
И просит Ашик-Кериб, чтоб она позволила сестре снять сааз и показать ему.		
Смешение Хадерилиаза со святым Георгием встречается в армянском и грузинском фольклоре. 5 «Нельзя, – отвечала старуха, – это сааз моего несчастного сына, вот уже семь лет он висит на стене, и ничья живая рука до него не дотрогивалась».		
Но сестра его встала, сняла со стены сааз и отдала ему: тогда он поднял глаза к небу и сотворил такую молитву: «О всемогущий аллах1		
Если я должен достигнуть до желаемой цели, то мой семиструнный сааз будет так же стройна, как в тот день, когда я в последний раз играл на ней».		
И он ударил по медным струнам, и струны согласно заговорили; и он начал петь: «Я бедный Кериб (нищий) – и слова мои бедны; но великий Хадерилияз помог мне спуститься с крутого утёса, хотя я беден и бедны слова мои.		
Узнай меня, мать, своего странника».		
После этого мать его зарыдала и спрашивает его: «Как тебя зовут?» «Рашид» (храбрый), – отвечал он.		
«Раз говори, другой раз слушай, Рашид, – сказала она, – своими речами ты изрезал сердце моё в куски.		
Нынешнюю ночь я во сне видела, что на голове моей волосы побелели, – а вот уж семь лет я ослепла от слёз; скажи мне ты, который имеешь его голос, когда мой сын придёт?» И дважды со слезами она повторила ему просьбу.		
Напрасно он называл себя её сыном, но она не верила, и спустя несколько времени просит он: «Позвольте, матушка, взять сааз и идти, я слышал, здесь близко есть свадьба: сестра меня проводит; я буду петь и играть, и всё, что получу, принесу сюда и разделю с вами».		
«Не позволю, – отвечала старуха, – с тех пор, как нет моего сына, его сааз не выходил из дому».		
Но он стал клясться, что не повредит ни одной струны.		
«А если хоть одна струна порвётся, – продолжал Ашик, – то отвечаю моим имуществом».		
Старуха ощупала его сумы и, узнав, что они наполнены монетами, отпустила его; проводив его до богатого дома, где шумел свадебный пир, сестра осталась у дверей слушать, что будет.		
В этом доме жила Магуль-Мегери, и в эту ночь она должна была сделаться женою Куршуд-бека.		
Куршуд-бек пировал с родными и друзьями, а Магуль-Мегери, сидя за богатою чапрой (занавес) с своими подругами, держала в одной руке чашу с ядом, а в другой острый кинжал: она поклялась умереть прежде, чем опустит голову на ложе Куршуд-бека.		
И слышит она из-за чапры , что пришел незнакомец, который говорил: «Селям алейкюм: вы здесь веселитесь и пируете, так позвольте мне, бедному страннику, сесть с вами, и за то я спою вам песню».		
«Почему же нет, – сказал Куршуд-бек. – Сюда должны быть впускаемы песельники и плясуны, потому что здесь свадьба: спой же что-нибудь, Ашик (певец), и я отпущу тебя с полной горстью золота».		
Тогда Куршуд-бек спросил его: «А как тебя зовут, путник?» – «Шинди-гёрурсез (скоро узнаете)».		
«Что это за имя, – воскликнул тот со смехом. – Я в первый раз такое слышу1»...		
После этого он взял сааз и начал петь.		
«В городе Халафе я пил мисирское вино, но бог мне дал крылья, и я прилетел сюда в три дни».		
Чапра – занавес.		
Брат Куршуд-бека, человек малоумный, выхватил кинжал, воскликнув: «Ты лжёшь; как можно из Халафа приехать сюда в три дни?		
«За что ж ты меня хочешь убить, – сказал Ашик, – певцы обыкновенно со всех четырёх сторон собираются в одно место; и я с вас ничего не беру, верьте мне или не верьте». – Пускай продолжает, – сказал жених, и Ашик-Кериб запел снова: «Утренний намаз творил я в Арзиньянской долине, полуденный намаз в городе Арзруме; пред захождением солнца творил намаз в городе Карсе, а вечерний намаз в Тифлизе.		
Аллах дал мне крылья, и я прилетел сюда; дай бог, чтоб я стал жертвою белого коня, он скакал быстро, как плясун по канату, с горы в ущелья, из ущелья на гору: Маулям (создатель) дал Ашику крылья, и он прилетел на свадьбу Магуль-Мегери».		
Тогда Магуль-Мегери, узнав его голос, бросила яд в одну сторону, а кинжал в другую: «Так-то ты сдержала свою клятву, – сказали её подруги, – стало быть, сегодня ночью ты будешь женою Куршуд-бека».		
«Вы не узнали, а я узнала милый мне голос», – отвечала Магуль-Мегери; и, взяв ножницы, она прорезала чапру.		
Когда же посмотрела и точно узнала своего Ашик-Кериба, то вскрикнула; бросилась к нему на шею, и оба упали без чувств.		
Брат Куршуд-бека бросился на них с кинжалом, намереваясь заколоть обоих, но Куршуд-бек остановил его, примолвив: «Успокойся и знай: что написано у человека на лбу при его рождении, того он не минует».		
Придя в чувства, Магуль-Мегери покраснела от стыда, закрыла лицо рукою и спряталась за чапру.		
«Теперь точно видно, что ты Ашик-Кериб, – сказал жених, – но поведай, как же ты мог в такое короткое время проехать такое великое пространство?» В доказательство истины отвечал Ашик: «Сабля моя перерубит камень, если же я лгу, то да будет шея моя тоньше волоска; но лучше всего приведите мне слепую, которая бы семь лет уж не видала свету божьего, и я возвращу ей зрение».		
Сестра Ашик-Кериба, стоявшая у двери и услышав такую речь, побежала к матери.		
«Матушка1 – закричала она, – Это точно брат и точно твой сын Ашик-Кериб».		
И, взяв её под-руку, привела старуху на пир свадебный.		
Тогда Ашик взял комок земли из-за пазухи, развёл его водою и намазал матери глаза, примолвив: «Знайте все люди, как могущ и велик Хадрилиаз».		
И мать его прозрела.		
После того никто не смел сомневаться в истине слов его, и Куршуд-бек уступил ему безмолвно прекрасную Магуль-Мегери.		
